ts_utc,ts_local,username,role,content
2025-08-19T02:11:06.729632+00:00,2025-08-19T09:11:06.729632+07:00,hr01,user,hi
2025-08-19T02:11:14.611082+00:00,2025-08-19T09:11:14.611082+07:00,hr01,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000027837E4EBA0>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-19T02:11:24.759063+00:00,2025-08-19T09:11:24.759063+07:00,hr01,user,111
2025-08-19T02:11:30.022683+00:00,2025-08-19T09:11:30.022683+07:00,hr01,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000027837FF2B40>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
